TIME,DOX2,DOX2_QC,DEPTH,station
2019-06-19,256.8757830714281,1.0,39.0,CCE1
2019-06-20,255.75658684930093,1.0,39.0,CCE1
2019-06-21,255.9321690119892,1.0,39.0,CCE1
2019-06-22,257.34653268989604,1.0,39.0,CCE1
2019-06-23,258.22170555869644,1.0,39.0,CCE1
2019-06-24,257.0347713196489,1.0,39.0,CCE1
2019-06-25,255.31972798506465,1.0,39.0,CCE1
2019-06-26,257.1042413300675,1.0,39.0,CCE1
2019-06-27,256.36770209176115,1.0,39.0,CCE1
2019-06-28,256.79982174091936,1.0,39.0,CCE1
2019-06-29,255.98424124907783,1.0,39.0,CCE1
2019-06-30,256.15850382246214,1.0,39.0,CCE1
2019-07-01,256.2356037899341,1.0,39.0,CCE1
2019-07-02,255.67246487062494,1.0,39.0,CCE1
2019-07-03,254.33788088062656,1.0,39.0,CCE1
2019-07-04,256.0111083405013,1.0,39.0,CCE1
2019-07-05,253.8746105780823,1.0,39.0,CCE1
2019-07-06,253.7103028772908,1.0,39.0,CCE1
2019-07-07,257.0892721699754,1.0,39.0,CCE1
2019-07-08,258.45235985706114,1.0,39.0,CCE1
2019-07-09,252.61942072447164,1.0,39.0,CCE1
2019-07-10,260.5827272324205,1.0,39.0,CCE1
2019-07-11,262.4230654147277,1.0,39.0,CCE1
2019-07-12,263.98742090444983,1.0,39.0,CCE1
2019-07-13,255.1394138934361,1.0,39.0,CCE1
2019-07-14,254.10381571855896,1.0,39.0,CCE1
2019-07-15,255.7763970317377,1.0,39.0,CCE1
2019-07-16,260.214723136027,1.0,39.0,CCE1
2019-07-17,253.74288473677265,1.0,39.0,CCE1
2019-07-18,251.95203958380412,1.0,39.0,CCE1
2019-07-19,258.64562320752265,1.0,39.0,CCE1
2019-07-20,256.7099498332484,1.0,39.0,CCE1
2019-07-21,250.99820510470497,1.0,39.0,CCE1
2019-07-22,252.1159819097163,1.0,39.0,CCE1
2019-07-23,252.81854828059238,1.0,39.0,CCE1
2019-07-24,251.24400594259578,1.0,39.0,CCE1
2019-07-25,250.91538007141546,1.0,39.0,CCE1
2019-07-26,252.2032814279867,1.0,39.0,CCE1
2019-07-27,254.32390850991317,1.0,39.0,CCE1
2019-07-28,250.28412226646017,1.0,39.0,CCE1
2019-07-29,249.55697153410316,1.0,39.0,CCE1
2019-07-30,245.95205005107414,1.0,39.0,CCE1
2019-07-31,249.12182677349077,1.0,39.0,CCE1
2019-08-01,252.73205406240152,1.0,39.0,CCE1
2019-08-02,260.19702862236574,1.0,39.0,CCE1
2019-08-03,260.7096392110924,1.0,39.0,CCE1
2019-08-04,253.52543599441876,1.0,39.0,CCE1
2019-08-05,249.8340618233341,1.0,39.0,CCE1
2019-08-06,251.09107926656273,1.0,39.0,CCE1
2019-08-07,252.15622985960275,1.0,39.0,CCE1
2019-08-08,251.5858691302484,1.0,39.0,CCE1
2019-08-09,251.5726126906836,1.0,39.0,CCE1
2019-08-10,249.66709891831349,1.0,39.0,CCE1
2019-08-11,249.73407187325282,1.0,39.0,CCE1
2019-08-12,249.2728626293192,1.0,39.0,CCE1
2019-08-13,251.8148748690176,1.0,39.0,CCE1
2019-08-14,252.63139999432028,1.0,39.0,CCE1
2019-08-15,252.46385108068418,1.0,39.0,CCE1
2019-08-16,254.15863523906822,1.0,39.0,CCE1
2019-08-17,255.23506934160068,1.0,39.0,CCE1
2019-08-18,256.05579254254457,1.0,39.0,CCE1
2019-08-19,259.87243810999075,1.0,39.0,CCE1
2019-08-20,259.45645823365834,1.0,39.0,CCE1
2019-08-21,256.89165214606635,1.0,39.0,CCE1
2019-08-22,262.1784992994295,1.0,39.0,CCE1
2019-08-23,252.68902567840075,1.0,39.0,CCE1
2019-08-24,247.63773154743,1.0,39.0,CCE1
2019-08-25,248.71958674292344,1.0,39.0,CCE1
2019-08-26,252.85378604449295,1.0,39.0,CCE1
2019-08-27,255.09851642737956,1.0,39.0,CCE1
2019-08-28,255.2090022413162,1.0,39.0,CCE1
2019-08-29,258.11962158891595,1.0,39.0,CCE1
2019-08-30,257.89590455256143,1.0,39.0,CCE1
2019-08-31,258.98713855391134,1.0,39.0,CCE1
2019-09-01,259.9836652797615,1.0,39.0,CCE1
2019-09-02,254.99140802384704,1.0,39.0,CCE1
2019-09-03,258.5835312070914,1.0,39.0,CCE1
2019-09-04,262.51134931765347,1.0,39.0,CCE1
2019-09-05,254.91253846771113,1.0,39.0,CCE1
2019-09-06,253.24608795502635,1.0,39.0,CCE1
2019-09-07,249.47268555031633,1.0,39.0,CCE1
2019-09-08,251.61862176532694,1.0,39.0,CCE1
2019-09-09,254.76585825282004,1.0,39.0,CCE1
2019-09-10,256.19810458320524,1.0,39.0,CCE1
2019-09-11,261.30531309059825,1.0,39.0,CCE1
2019-09-12,268.03161959586356,1.0,39.0,CCE1
2019-09-13,272.8740573105308,1.0,39.0,CCE1
2019-09-14,257.7453992484902,1.0,39.0,CCE1
2019-09-15,268.79523408373365,1.0,39.0,CCE1
2019-09-16,268.67548747392294,1.0,39.0,CCE1
2019-09-17,273.6516000896382,1.0,39.0,CCE1
2019-09-18,265.0880752341331,1.0,39.0,CCE1
2019-09-19,253.51868622242816,1.0,39.0,CCE1
2019-09-20,255.9248531951358,1.0,39.0,CCE1
2019-09-21,250.87612330488932,1.0,39.0,CCE1
2019-09-22,245.58528853893532,1.0,39.0,CCE1
2019-09-23,258.88861676366594,1.0,39.0,CCE1
2019-09-24,245.52210533841242,1.0,39.0,CCE1
2019-09-25,241.31517367192808,1.0,39.0,CCE1
2019-09-26,244.68089366719275,1.0,39.0,CCE1
2019-09-27,243.455781649371,1.0,39.0,CCE1
2019-09-28,250.30983247746144,1.0,39.0,CCE1
2019-09-29,255.10493289855114,1.0,39.0,CCE1
2019-09-30,249.8075106911277,1.0,39.0,CCE1
2019-10-01,249.57374028721404,1.0,39.0,CCE1
2019-10-02,247.34584373682875,1.0,39.0,CCE1
2019-10-03,252.7174302541555,1.0,39.0,CCE1
2019-10-04,243.6327928504387,1.0,39.0,CCE1
2019-10-05,246.82461904483736,1.0,39.0,CCE1
2019-10-06,242.38145901044325,1.0,39.0,CCE1
2019-10-07,240.6625070083983,1.0,39.0,CCE1
2019-10-08,236.88565197866566,1.0,39.0,CCE1
2019-10-09,241.83781368375148,1.0,39.0,CCE1
2019-10-10,247.5354312585596,1.0,39.0,CCE1
2019-10-11,244.05271377941608,1.0,39.0,CCE1
2019-10-12,242.79294176832877,1.0,39.0,CCE1
2019-10-13,241.95584363921452,1.0,39.0,CCE1
2019-10-14,239.80916142386027,1.0,39.0,CCE1
2019-10-15,245.0463248303986,1.0,39.0,CCE1
2019-10-16,259.89175039299175,1.0,39.0,CCE1
2019-10-17,254.58519655559164,1.0,39.0,CCE1
2019-10-18,255.18430564864772,1.0,39.0,CCE1
2019-10-19,247.9758246894726,1.0,39.0,CCE1
2019-10-20,248.98040975371723,1.0,39.0,CCE1
2019-10-21,262.14911214603353,1.0,39.0,CCE1
2019-10-22,261.53711157006643,1.0,39.0,CCE1
2019-10-23,258.29803529316786,1.0,39.0,CCE1
2019-10-24,262.7810349446782,1.0,39.0,CCE1
2019-10-25,258.61557201960164,1.0,39.0,CCE1
2019-10-26,258.4098418379357,1.0,39.0,CCE1
2019-10-27,257.8366967858312,1.0,39.0,CCE1
2019-10-28,249.79041733706893,1.0,39.0,CCE1
2019-10-29,246.6354278500589,1.0,39.0,CCE1
2019-10-30,251.7043102346398,1.0,39.0,CCE1
2019-10-31,258.0505396800497,1.0,39.0,CCE1
2019-11-01,255.36016936783048,1.0,39.0,CCE1
2019-11-02,256.35449685612235,1.0,39.0,CCE1
2019-11-03,256.1614997456296,1.0,39.0,CCE1
2019-11-04,259.58213981311394,1.0,39.0,CCE1
2019-11-05,261.02567414028505,1.0,39.0,CCE1
2019-11-06,265.8844720496661,1.0,39.0,CCE1
2019-11-07,268.1817319028013,1.0,39.0,CCE1
2019-11-08,265.8555585460737,1.0,39.0,CCE1
2019-11-09,266.2148263520083,1.0,39.0,CCE1
2019-11-10,239.01435960072044,1.0,39.0,CCE1
2019-11-11,227.76618516951942,1.0,39.0,CCE1
2019-11-12,214.30353941981957,1.0,39.0,CCE1
2019-11-13,197.1421188918705,1.0,39.0,CCE1
2019-11-14,216.9385467417177,1.0,39.0,CCE1
2019-11-15,203.43726594832512,1.0,39.0,CCE1
2019-11-16,192.1682230068354,1.0,39.0,CCE1
2019-11-17,196.17983501923666,1.0,39.0,CCE1
2019-11-18,204.33890292231362,1.0,39.0,CCE1
2019-11-19,218.54028985611436,1.0,39.0,CCE1
2019-11-20,228.02378107467726,1.0,39.0,CCE1
2019-11-21,241.95933247293496,1.0,39.0,CCE1
2019-11-22,236.44468304989877,1.0,39.0,CCE1
2019-11-23,232.282822561504,1.0,39.0,CCE1
2019-11-24,238.22726589747006,1.0,39.0,CCE1
2019-11-25,231.08863390089576,1.0,39.0,CCE1
