date,station,oxygen
2015-03-21,CCE2,265.6175231933594
2015-03-22,CCE2,261.0431213378906
2015-03-23,CCE2,263.9696960449219
2015-03-24,CCE2,264.2874450683594
2015-03-25,CCE2,259.51104736328125
2015-03-26,CCE2,261.2942810058594
2015-03-27,CCE2,268.9840087890625
2015-03-28,CCE2,262.8443298339844
2015-03-29,CCE2,257.29644775390625
2015-03-30,CCE2,252.3510284423828
2015-03-31,CCE2,255.4374542236328
2015-04-01,CCE2,255.78077697753903
2015-04-02,CCE2,248.2196044921875
2015-04-03,CCE2,242.1940765380859
2015-04-04,CCE2,249.1179962158203
2015-04-05,CCE2,253.632568359375
2015-04-06,CCE2,259.7059631347656
2015-04-07,CCE2,259.69140625
2015-04-08,CCE2,273.9157409667969
2015-04-09,CCE2,267.85882568359375
2015-04-10,CCE2,272.3640441894531
2015-04-11,CCE2,269.822021484375
2015-04-12,CCE2,264.2734375
2015-04-13,CCE2,272.19451904296875
2015-04-14,CCE2,280.6415710449219
2015-04-15,CCE2,265.3055725097656
2015-04-16,CCE2,267.9112243652344
2015-04-17,CCE2,266.273681640625
2015-04-18,CCE2,266.7854919433594
2015-04-19,CCE2,269.0238952636719
2015-04-20,CCE2,263.49884033203125
2015-04-21,CCE2,263.69366455078125
2015-04-22,CCE2,265.0947570800781
2015-04-23,CCE2,267.0437316894531
2015-04-24,CCE2,268.3225402832031
2015-04-25,CCE2,264.8898010253906
2015-04-26,CCE2,263.6864929199219
2015-04-27,CCE2,256.02374267578125
2015-04-28,CCE2,260.08182525634766
2015-04-29,CCE2,254.69769287109375
2015-04-30,CCE2,255.4943389892578
2015-05-01,CCE2,262.0295104980469
2015-05-02,CCE2,262.7732238769531
2015-05-03,CCE2,262.22894287109375
2015-05-04,CCE2,266.7056579589844
2015-05-05,CCE2,268.9134216308594
2015-05-06,CCE2,267.7317199707031
2015-05-07,CCE2,257.0370788574219
2015-05-08,CCE2,254.24217224121097
2015-05-09,CCE2,263.7286682128906
2015-05-10,CCE2,258.6969299316406
2015-05-11,CCE2,249.4028778076172
2015-05-12,CCE2,233.0964813232422
2015-05-13,CCE2,245.89634704589844
2015-05-14,CCE2,252.95037841796875
2015-05-15,CCE2,267.5003967285156
2015-05-16,CCE2,253.552734375
2015-05-17,CCE2,271.1113586425781
2015-05-18,CCE2,287.7420959472656
2015-05-19,CCE2,230.2380828857422
2015-05-20,CCE2,248.14610290527344
2015-05-21,CCE2,247.5930938720703
2015-05-22,CCE2,294.9198913574219
2015-05-23,CCE2,290.0596008300781
2015-05-24,CCE2,275.3111572265625
2015-05-25,CCE2,276.5640869140625
2015-05-26,CCE2,272.90313720703125
2015-05-27,CCE2,269.1891174316406
2015-05-28,CCE2,265.1220703125
2015-05-29,CCE2,258.4206237792969
2015-05-30,CCE2,244.9915771484375
2015-05-31,CCE2,256.0242614746094
2015-06-01,CCE2,247.3661346435547
2015-06-02,CCE2,243.2356109619141
2015-06-03,CCE2,208.8791046142578
2015-06-04,CCE2,214.6157989501953
2015-06-05,CCE2,207.35906982421875
2015-06-06,CCE2,235.5686798095703
2015-06-07,CCE2,282.06878662109375
2015-06-08,CCE2,287.0325927734375
2015-06-09,CCE2,275.9151611328125
